LKID	Phyla	Genera	Species	KHID	BodySite
LK2543	Actinobacteriota	Rothia		173	Oral (moist)
LK2544	Actinobacteriota	Rothia		173	Oral (moist)
LK2545	Actinobacteriota	Leucobacter		173	Oral (moist)
LK2546	Proteobacteria	Acinetobacter		173	Oral (moist)
LK2547				173	Oral (moist)
LK2548	Proteobacteria	Acinetobacter		173	Oral (moist)
LK2549				173	Oral (moist)
LK2550	Actinobacteriota	Corynebacterium		174	Nares (moist)
LK2551	Actinobacteriota	Kocuria		174	Nares (moist)
LK2552				174	Nares (moist)
LK2553	Actinobacteriota	Rothia		174	Nares (moist)
LK2554	Actinobacteriota	Rothia		174	Nares (moist)
LK2555	Actinobacteriota	Corynebacterium		174	Nares (moist)
LK2556				175	Dorsal (dry)
LK2557	Actinobacteriota	Rothia		175	Dorsal (dry)
LK2558	Actinobacteriota	Rothia		175	Dorsal (dry)
LK2559	Firmicutes	Paenibacillus		175	Dorsal (dry)
LK2560				175	Dorsal (dry)
LK2561	Firmicutes	Paenibacillus		175	Dorsal (dry)
LK2562	Firmicutes	Viridibacillus		175	Dorsal (dry)
LK2563	Actinobacteriota	Kocuria		175	Dorsal (dry)
LK2564				175	Dorsal (dry)
LK2565	Actinobacteriota	Rothia		175	Dorsal (dry)
LK2566	Actinobacteriota	Rothia		175	Dorsal (dry)
LK2567	Actinobacteriota	Corynebacterium		175	Dorsal (dry)
LK2568				175	Dorsal (dry)
LK2569	Actinobacteriota	Corynebacterium		175	Dorsal (dry)
LK2570	Firmicutes	Viridibacillus		175	Dorsal (dry)
LK2571	Actinobacteriota	Corynebacterium		175	Dorsal (dry)
LK2572	Actinobacteriota	Micrococcus		175	Dorsal (dry)
LK2573	Actinobacteriota	Rothia		175	Dorsal (dry)
LK2574				175	Dorsal (dry)
LK2575				175	Dorsal (dry)
LK2576	Actinobacteriota	Kocuria		175	Dorsal (dry)
LK2577	Actinobacteriota	Corynebacterium		175	Dorsal (dry)
LK2578				176	Ventral (dry)
LK2579	Actinobacteriota	Brachybacterium		176	Ventral (dry)
LK2580	Actinobacteriota	Kocuria		176	Ventral (dry)
LK2581				176	Ventral (dry)
LK2582	Firmicutes	Viridibacillus		176	Ventral (dry)
LK2583				176	Ventral (dry)
LK2584	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2585	Actinobacteriota	Kocuria		176	Ventral (dry)
LK2586	Actinobacteriota	Rothia		176	Ventral (dry)
LK2587	Firmicutes	Paenibacillus		176	Ventral (dry)
LK2588	Actinobacteriota	Rothia		176	Ventral (dry)
LK2589	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2590	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2591	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2592				176	Ventral (dry)
LK2593				176	Ventral (dry)
LK2594	Actinobacteriota	Kocuria		176	Ventral (dry)
LK2595	Actinobacteriota	Rothia		176	Ventral (dry)
LK2596	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2597	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2598	Actinobacteriota	Kocuria		176	Ventral (dry)
LK2599	Actinobacteriota	Kocuria		176	Ventral (dry)
LK2600	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2601				176	Ventral (dry)
LK2602	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2603	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2604	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2605	Actinobacteriota	Kocuria		176	Ventral (dry)
LK2606				176	Ventral (dry)
LK2607				176	Ventral (dry)
LK2608	Actinobacteriota	Micrococcus		176	Ventral (dry)
