sample-id	forward-absolute-filepath	reverse-absolute-filepath		Full_ID	Pig	Date_mddyy	Timepoint	Dorsal_Ventral	Burn_Excisional	Infection_Group	Replicate	SampleType	ExGroup
Kalan16S006-063	/Users/karindadelacruz/LK16S006/16SKalan16S006-063-16S_S63_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-063-16S_S63_L001_R2_001.fastq.gz		WM2-052422-V-E-B-1	WM2	52422	3	V	E	B	1	Gauze in PBS	WM2-3-V-E-B
Kalan16S006-064	/Users/karindadelacruz/LK16S006/16SKalan16S006-064-16S_S64_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-064-16S_S64_L001_R2_001.fastq.gz		WM2-052422-V-E-B-2	WM2	52422	3	V	E	B	2	Gauze in PBS	WM2-3-V-E-B
Kalan16S006-065	/Users/karindadelacruz/LK16S006/16SKalan16S006-065-16S_S65_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-065-16S_S65_L001_R2_001.fastq.gz		WM2-052422-V-B-B-2	WM2	52422	3	V	B	B	2	Gauze in PBS	WM2-3-V-B-B
Kalan16S006-066	/Users/karindadelacruz/LK16S006/16SKalan16S006-066-16S_S66_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-066-16S_S66_L001_R2_001.fastq.gz		WM2-052422-V-B-A-1	WM2	52422	3	V	B	A	1	Gauze in PBS	WM2-3-V-B-A
Kalan16S006-067	/Users/karindadelacruz/LK16S006/16SKalan16S006-067-16S_S67_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-067-16S_S67_L001_R2_001.fastq.gz		WM2-052422-V-E-A-1	WM2	52422	3	V	E	A	1	Gauze in PBS	WM2-3-V-E-A
Kalan16S006-068	/Users/karindadelacruz/LK16S006/16SKalan16S006-068-16S_S68_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-068-16S_S68_L001_R2_001.fastq.gz		WM2-052422-V-E-A-2	WM2	52422	3	V	E	A	2	Gauze in PBS	WM2-3-V-E-A
Kalan16S006-069	/Users/karindadelacruz/LK16S006/16SKalan16S006-069-16S_S69_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-069-16S_S69_L001_R2_001.fastq.gz		WM2-052422-V-B-A-2	WM2	52422	3	V	B	A	2	Gauze in PBS	WM2-3-V-B-A
Kalan16S006-070	/Users/karindadelacruz/LK16S006/16SKalan16S006-070-16S_S70_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-070-16S_S70_L001_R2_001.fastq.gz		WM2-052422-V-E-U-1	WM2	52422	3	V	E	U	1	Gauze in PBS	WM2-3-V-E-U
Kalan16S006-071	/Users/karindadelacruz/LK16S006/16SKalan16S006-071-16S_S71_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-071-16S_S71_L001_R2_001.fastq.gz		WM2-052422-V-E-U-2	WM2	52422	3	V	E	U	2	Gauze in PBS	WM2-3-V-E-U
Kalan16S006-072	/Users/karindadelacruz/LK16S006/16SKalan16S006-072-16S_S72_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-072-16S_S72_L001_R2_001.fastq.gz		WM2-052422-V-E-U-3	WM2	52422	3	V	E	U	3	Gauze in PBS	WM2-3-V-E-U
